"","Exp3_A_Sample_1","Exp3_A_Sample_2","Exp3_B_Sample_1","Exp3_B_Sample_2","Exp3_C_Sample_1","Exp3_C_Sample_2"
"ENSG00000002602",75,70,19,49,72,65
"ENSG00000002603",143,75,63,104,109,133
"ENSG00000002604",0,1,0,2,2,1
"ENSG00000002605",119,34,53,77,60,95
"ENSG00000002606",6,3,4,7,4,4
"ENSG00000002607",40,42,46,67,36,12
"ENSG00000002608",86,56,28,120,35,60
"ENSG00000002609",25,11,1,15,20,22
"ENSG00000002610",17,16,11,23,22,16
"ENSG00000002611",7,2,4,9,9,11
"ENSG00000002612",1,2,0,0,0,0
"ENSG00000002613",0,0,0,0,0,0
"ENSG00000002614",4085,4385,2004,2518,3042,5033
"ENSG00000002615",0,2,0,0,1,0
"ENSG00000002616",31,30,14,19,25,15
"ENSG00000002617",7,3,4,4,4,6
"ENSG00000002618",2,2,0,0,1,0
"ENSG00000002619",15,2,1,3,11,5
"ENSG00000002620",23,18,17,18,37,19
"ENSG00000002621",0,0,0,1,0,1
"ENSG00000002622",335,297,404,354,543,212
"ENSG00000002623",0,1,0,0,0,2
"ENSG00000002624",12,19,7,9,8,14
"ENSG00000002625",52,29,36,51,24,39
"ENSG00000002626",380,196,112,181,85,76
"ENSG00000002627",15,26,10,10,24,10
"ENSG00000002628",18,22,33,14,44,37
"ENSG00000002629",161,122,79,80,70,130
"ENSG00000002630",2,0,1,0,3,0
"ENSG00000002631",0,0,1,1,0,0
"ENSG00000002632",0,0,0,0,0,2
"ENSG00000002633",3,3,0,1,0,0
"ENSG00000002634",4,1,1,0,2,1
"ENSG00000002635",68,47,39,26,20,23
"ENSG00000002636",4,1,1,2,1,1
"ENSG00000002637",18,4,3,18,16,17
"ENSG00000002638",33,61,53,64,31,49
"ENSG00000002639",0,0,1,0,1,3
"ENSG00000002640",0,3,3,1,2,1
"ENSG00000002641",29,21,3,8,13,17
"ENSG00000002642",33,26,42,36,31,20
"ENSG00000002643",5,17,3,17,7,4
"ENSG00000002644",0,0,0,0,0,0
"ENSG00000002645",0,0,1,2,1,1
"ENSG00000002646",17,4,12,5,12,6
"ENSG00000002647",5,2,3,6,6,1
"ENSG00000002648",0,1,0,3,0,0
"ENSG00000002649",4,6,0,9,1,4
"ENSG00000002650",220,156,110,104,51,84
"ENSG00000002651",19,5,4,3,12,5
"ENSG00000002652",169,124,35,77,74,154
"ENSG00000002653",16,8,12,11,7,6
"ENSG00000002654",2,0,2,0,0,0
"ENSG00000002655",126,73,90,24,107,135
"ENSG00000002656",0,0,0,0,0,0
"ENSG00000002657",0,0,0,0,0,0
"ENSG00000002658",11,7,5,9,10,8
"ENSG00000002659",4,3,0,3,1,1
"ENSG00000002660",391,434,383,463,414,546
"ENSG00000002661",33,30,24,19,18,16
"ENSG00000002662",1,0,0,0,1,1
"ENSG00000002663",0,0,0,0,0,1
"ENSG00000002664",112,128,108,63,56,144
"ENSG00000002665",43,53,15,68,26,9
"ENSG00000002666",0,0,0,2,1,0
"ENSG00000002667",0,0,0,1,0,0
"ENSG00000002668",68,39,27,29,65,25
"ENSG00000002669",12,26,30,36,4,23
"ENSG00000002670",2,0,0,0,0,0
"ENSG00000002671",55,138,116,43,119,75
"ENSG00000002672",0,1,2,0,1,0
"ENSG00000002673",285,284,106,374,176,180
"ENSG00000002674",16,59,28,44,53,48
"ENSG00000002675",0,0,0,2,0,0
"ENSG00000002676",0,1,1,0,0,0
"ENSG00000002677",0,1,0,0,1,0
"ENSG00000002678",191,131,141,184,225,83
"ENSG00000002679",27,101,44,9,47,10
"ENSG00000002680",4,2,0,1,1,3
"ENSG00000002681",19,6,6,41,14,17
"ENSG00000002682",0,1,1,1,1,0
"ENSG00000002683",8,4,5,4,3,6
"ENSG00000002684",0,0,0,0,0,0
"ENSG00000002685",72,28,41,52,22,80
"ENSG00000002686",0,0,0,0,0,0
"ENSG00000002687",0,0,0,0,0,0
"ENSG00000002688",7,3,5,12,4,6
"ENSG00000002689",277,162,48,173,66,83
"ENSG00000002690",112,109,74,18,217,85
"ENSG00000002691",23,36,23,29,100,4
"ENSG00000002692",0,0,0,0,0,0
"ENSG00000002693",99,90,53,24,58,57
"ENSG00000002694",109,51,83,100,56,104
"ENSG00000002695",34,35,31,21,21,26
"ENSG00000002696",1,1,0,0,0,0
"ENSG00000002697",0,0,1,0,0,1
"ENSG00000002698",1,1,0,0,0,0
"ENSG00000002699",46,9,15,80,33,48
"ENSG00000002700",0,0,1,0,1,0
"ENSG00000002701",2,0,0,0,0,0
"ENSG00000002702",1,12,5,4,6,3
"ENSG00000002703",2,4,1,2,0,1
"ENSG00000002704",622,523,133,554,325,578
"ENSG00000002705",8,5,0,2,3,1
"ENSG00000002706",55,38,41,33,14,24
"ENSG00000002707",1,1,2,0,0,0
"ENSG00000002708",58,19,26,56,27,30
"ENSG00000002709",166,48,60,77,39,174
"ENSG00000002710",0,0,0,0,0,0
"ENSG00000002711",0,0,0,0,0,0
"ENSG00000002712",1,0,2,0,0,0
"ENSG00000002713",0,0,0,0,0,0
"ENSG00000002714",106,67,30,64,43,75
"ENSG00000002715",21,12,9,27,4,9
"ENSG00000002716",8,9,7,9,17,16
"ENSG00000002717",72,78,30,89,95,62
"ENSG00000002718",0,0,0,0,0,0
"ENSG00000002719",16,29,9,16,4,9
"ENSG00000002720",9,5,3,3,3,3
"ENSG00000002721",0,0,0,0,1,1
"ENSG00000002722",51,15,22,16,33,20
"ENSG00000002723",0,0,0,0,0,0
"ENSG00000002724",117,138,111,100,63,221
"ENSG00000002725",28,76,95,53,30,14
"ENSG00000002726",5,2,6,3,5,3
"ENSG00000002727",7,2,2,11,4,10
"ENSG00000002728",0,1,3,1,0,0
"ENSG00000002729",1,0,0,1,0,0
"ENSG00000002730",14,6,18,14,35,12
"ENSG00000002731",2,0,0,1,0,0
"ENSG00000002732",6,5,5,4,2,3
"ENSG00000002733",94,30,25,37,70,24
"ENSG00000002734",89,217,67,140,101,107
"ENSG00000002735",0,0,1,0,0,0
"ENSG00000002736",7,20,6,4,8,4
"ENSG00000002737",0,8,7,8,3,0
"ENSG00000002738",0,1,1,0,0,2
"ENSG00000002739",235,597,192,150,404,417
"ENSG00000002740",27,14,8,42,22,14
"ENSG00000002741",3,9,4,7,9,14
"ENSG00000002742",0,0,1,1,0,0
"ENSG00000002743",0,0,0,0,0,0
"ENSG00000002744",24,37,20,43,38,19
"ENSG00000002745",863,350,362,377,246,129
"ENSG00000002746",0,1,0,2,0,0
"ENSG00000002747",102,69,256,291,59,178
"ENSG00000002748",4,2,11,3,9,4
"ENSG00000002749",23,42,36,28,38,20
"ENSG00000002750",1,1,0,1,0,0
"ENSG00000002751",0,0,2,0,0,0
"ENSG00000002752",350,264,297,109,606,108
"ENSG00000002753",273,1075,423,336,584,119
"ENSG00000002754",83,179,133,31,50,53
"ENSG00000002755",7,3,20,1,2,13
"ENSG00000002756",37,20,22,19,9,15
"ENSG00000002757",0,2,0,2,0,0
"ENSG00000002758",0,0,0,0,0,0
"ENSG00000002759",0,1,0,0,0,1
"ENSG00000002760",0,1,0,0,0,0
"ENSG00000002761",7,9,9,13,1,1
"ENSG00000002762",385,196,242,223,253,110
"ENSG00000002763",56,61,61,31,11,25
"ENSG00000002764",61,8,38,64,27,71
"ENSG00000002765",0,0,0,0,0,0
"ENSG00000002766",0,0,0,0,0,0
"ENSG00000002767",0,7,2,3,5,2
"ENSG00000002768",73,34,40,39,41,38
"ENSG00000002769",1,0,1,0,0,0
"ENSG00000002770",13,28,23,26,27,25
"ENSG00000002771",1,0,2,0,0,0
"ENSG00000002772",43,46,34,50,32,24
"ENSG00000002773",8,4,10,14,6,6
"ENSG00000002774",78,65,38,76,46,82
"ENSG00000002775",2,4,1,2,3,3
"ENSG00000002776",1,0,0,3,1,0
"ENSG00000002777",1,0,0,0,0,0
"ENSG00000002778",407,348,306,266,346,326
"ENSG00000002779",9,2,1,5,1,2
"ENSG00000002780",0,0,0,0,0,0
"ENSG00000002781",1,0,2,1,1,0
"ENSG00000002782",7,6,11,4,7,11
"ENSG00000002783",0,0,2,1,0,0
"ENSG00000002784",0,0,0,0,0,0
"ENSG00000002785",1,1,1,1,0,0
"ENSG00000002786",0,0,1,0,0,1
"ENSG00000002787",135,62,94,48,75,16
"ENSG00000002788",2,1,0,0,1,0
"ENSG00000002789",4,6,4,2,0,6
"ENSG00000002790",0,0,0,2,0,2
"ENSG00000002791",61,551,187,134,170,157
"ENSG00000002792",168,109,57,27,163,70
"ENSG00000002793",2,0,1,0,0,1
"ENSG00000002794",0,6,2,5,3,3
"ENSG00000002795",0,0,0,2,1,1
"ENSG00000002796",69,110,33,63,58,246
"ENSG00000002797",0,0,1,0,1,1
"ENSG00000002798",22,6,20,15,12,16
"ENSG00000002799",0,0,1,0,1,2
"ENSG00000002800",10,1,8,14,21,12
"ENSG00000002801",0,1,1,3,1,4
"ENSG00000002802",0,2,0,1,1,0
"ENSG00000002803",1,3,2,1,2,2
"ENSG00000002804",1522,3029,1221,2144,1011,2362
"ENSG00000002805",0,0,0,0,0,0
"ENSG00000002806",2044,1954,2611,942,1835,1697
"ENSG00000002807",65,60,35,99,102,62
"ENSG00000002808",6,2,3,5,10,5
"ENSG00000002809",1,1,1,0,0,0
"ENSG00000002810",0,0,0,0,0,0
"ENSG00000002811",1609,1654,542,1566,885,1378
"ENSG00000002812",1565,1511,3044,1249,2014,617
"ENSG00000002813",100,261,66,39,82,109
"ENSG00000002814",19,27,3,16,11,19
"ENSG00000002815",0,1,0,0,0,1
"ENSG00000002816",5,11,5,4,6,7
"ENSG00000002817",0,0,1,1,0,1
"ENSG00000002818",16,6,17,3,0,7
"ENSG00000002819",1036,498,98,55,528,297
"ENSG00000002820",4,6,4,5,9,11
"ENSG00000002821",1,0,0,1,1,1
"ENSG00000002822",0,0,0,0,2,1
"ENSG00000002823",36,54,34,22,61,42
"ENSG00000002824",69,28,39,52,190,39
"ENSG00000002825",0,0,0,3,0,2
"ENSG00000002826",39,24,10,18,34,27
"ENSG00000002827",1,0,0,0,0,0
"ENSG00000002828",14,4,3,2,5,3
"ENSG00000002829",2,4,1,2,2,0
"ENSG00000002830",4,1,6,4,7,8
"ENSG00000002831",50,45,28,44,48,35
"ENSG00000002832",14,4,12,18,11,13
"ENSG00000002833",2,2,2,0,2,4
"ENSG00000002834",4,1,1,0,4,2
"ENSG00000002835",0,1,0,0,1,0
"ENSG00000002836",32,81,22,43,31,70
"ENSG00000002837",0,1,0,0,0,0
"ENSG00000002838",0,0,1,0,0,0
"ENSG00000002839",0,0,0,0,0,0
"ENSG00000002840",0,1,0,1,0,0
"ENSG00000002841",23,3,10,15,7,14
"ENSG00000002842",1,0,1,1,2,2
"ENSG00000002843",0,1,0,0,1,0
"ENSG00000002844",31,25,10,22,21,9
"ENSG00000002845",37,14,15,11,8,33
"ENSG00000002846",117,57,56,57,94,44
"ENSG00000002847",75,104,32,87,67,36
"ENSG00000002848",17,8,10,19,2,13
"ENSG00000002849",6,1,0,2,4,1
"ENSG00000002850",241,174,158,249,269,256
"ENSG00000002851",1,0,2,1,1,0
"ENSG00000002852",331,822,161,122,291,537
"ENSG00000002853",14,2,6,4,2,7
"ENSG00000002854",1826,1164,654,763,748,1303
"ENSG00000002855",0,0,0,2,1,0
"ENSG00000002856",0,0,0,0,0,1
"ENSG00000002857",19,16,7,43,8,24
"ENSG00000002858",758,435,222,375,113,479
"ENSG00000002859",1,1,0,0,1,0
"ENSG00000002860",11,17,0,5,19,12
"ENSG00000002861",2,2,2,1,1,0
"ENSG00000002862",1,1,1,0,0,2
"ENSG00000002863",34,32,21,16,17,24
"ENSG00000002864",19,12,5,8,7,1
"ENSG00000002865",2,1,0,5,0,0
"ENSG00000002866",8097,6655,6054,3883,3875,4670
"ENSG00000002867",0,0,0,0,1,1
"ENSG00000002868",215,71,68,81,106,114
"ENSG00000002869",0,2,1,3,3,2
"ENSG00000002870",1,0,0,2,0,0
"ENSG00000002871",0,0,0,1,1,2
"ENSG00000002872",866,880,1178,499,3263,1711
"ENSG00000002873",132,24,64,74,75,63
"ENSG00000002874",0,0,2,1,0,1
"ENSG00000002875",3,3,4,5,8,8
"ENSG00000002876",6,2,2,8,2,10
"ENSG00000002877",3,1,1,0,1,3
"ENSG00000002878",88,109,170,182,131,80
"ENSG00000002879",0,0,0,0,0,0
"ENSG00000002880",0,2,0,1,1,0
"ENSG00000002881",76,106,108,108,74,120
"ENSG00000002882",7,5,1,2,1,1
"ENSG00000002883",115,193,224,97,185,101
"ENSG00000002884",52,19,47,36,51,26
"ENSG00000002885",10,11,11,11,15,11
"ENSG00000002886",0,0,1,0,1,0
"ENSG00000002887",2597,1958,325,1919,867,1015
"ENSG00000002888",218,204,387,409,241,168
"ENSG00000002889",23,17,3,9,3,7
"ENSG00000002890",80,66,65,106,174,100
"ENSG00000002891",4,1,0,4,1,1
"ENSG00000002892",55,45,42,48,59,33
"ENSG00000002893",0,0,2,0,1,0
"ENSG00000002894",22,39,26,28,101,25
"ENSG00000002895",7,10,6,3,6,2
"ENSG00000002896",35,25,22,24,21,33
"ENSG00000002897",3,2,1,2,1,2
"ENSG00000002898",0,1,0,0,1,0
"ENSG00000002899",11,11,5,3,9,7
"ENSG00000002900",0,0,2,0,1,0
"ENSG00000002901",1,1,0,2,2,1
"ENSG00000002902",81,206,104,145,180,88
"ENSG00000002903",0,0,0,1,1,0
"ENSG00000002904",1,3,1,2,4,2
"ENSG00000002905",23,31,25,28,44,23
"ENSG00000002906",21,4,4,5,6,4
"ENSG00000002907",34,27,13,32,8,5
"ENSG00000002908",0,0,0,0,0,0
"ENSG00000002909",6,1,2,1,1,0
"ENSG00000002910",0,0,0,1,0,0
"ENSG00000002911",0,0,0,1,1,3
"ENSG00000002912",46,82,44,60,13,39
"ENSG00000002913",1,1,1,0,1,1
"ENSG00000002914",1,0,0,2,2,1
"ENSG00000002915",95,36,39,51,18,27
"ENSG00000002916",7,5,5,6,4,8
"ENSG00000002917",1,1,0,0,1,0
"ENSG00000002918",1,2,1,0,4,3
"ENSG00000002919",1,1,0,0,0,0
"ENSG00000002920",58,30,21,35,26,5
"ENSG00000002921",20,11,27,21,21,43
"ENSG00000002922",227,145,127,86,72,160
"ENSG00000002923",0,0,1,0,0,0
"ENSG00000002924",0,1,0,1,1,1
"ENSG00000002925",0,0,0,0,0,0
"ENSG00000002926",0,0,2,0,2,1
"ENSG00000002927",0,1,0,0,1,0
"ENSG00000002928",3,0,1,1,0,1
"ENSG00000002929",1,1,0,0,1,1
"ENSG00000002930",1610,3591,2753,649,1427,2562
"ENSG00000002931",2,0,0,1,1,0
"ENSG00000002932",1484,528,310,708,796,612
"ENSG00000002933",1,0,1,2,0,1
"ENSG00000002934",17,2,4,6,2,5
"ENSG00000002935",129,163,83,125,72,123
"ENSG00000002936",4,1,2,2,2,3
"ENSG00000002937",2,1,1,1,1,1
"ENSG00000002938",0,0,0,0,0,0
"ENSG00000002939",0,0,0,0,0,0
"ENSG00000002940",7,8,6,4,9,3
"ENSG00000002941",37,6,21,30,16,32
"ENSG00000002942",1,2,1,0,0,2
"ENSG00000002943",0,0,0,0,1,0
"ENSG00000002944",0,3,4,1,3,1
"ENSG00000002945",0,1,1,0,1,0
"ENSG00000002946",159,123,27,128,93,78
"ENSG00000002947",0,0,0,1,0,1
"ENSG00000002948",0,0,0,1,1,0
"ENSG00000002949",1,2,0,0,0,1
"ENSG00000002950",9,5,20,6,6,10
"ENSG00000002951",0,1,2,1,0,2
"ENSG00000002952",8,13,7,8,6,4
"ENSG00000002953",1,1,0,0,0,0
"ENSG00000002954",57,86,154,184,68,114
"ENSG00000002955",148,168,87,170,45,111
"ENSG00000002956",1,0,0,0,1,0
"ENSG00000002957",46,21,9,3,14,2
"ENSG00000002958",0,0,2,1,0,1
"ENSG00000002959",123,30,53,125,68,37
"ENSG00000002960",1,1,0,2,2,0
"ENSG00000002961",0,2,0,0,0,0
"ENSG00000002962",624,314,87,181,116,149
"ENSG00000002963",0,0,1,1,1,0
"ENSG00000002964",1,0,1,0,2,0
"ENSG00000002965",25,19,26,16,12,29
"ENSG00000002966",29,44,28,20,24,15
"ENSG00000002967",855,794,502,635,801,248
"ENSG00000002968",1,4,7,6,3,9
"ENSG00000002969",5,9,7,13,2,7
"ENSG00000002970",1,0,0,0,0,0
"ENSG00000002971",4,0,2,1,0,1
"ENSG00000002972",49,22,18,43,31,19
"ENSG00000002973",23,18,60,42,47,26
"ENSG00000002974",206,233,161,201,182,367
"ENSG00000002975",196,227,53,187,111,100
"ENSG00000002976",17,25,15,50,17,10
"ENSG00000002977",0,1,1,0,0,0
"ENSG00000002978",25,8,4,12,32,19
"ENSG00000002979",0,1,1,1,0,1
"ENSG00000002980",287,81,119,184,187,229
"ENSG00000002981",1,1,0,0,0,0
"ENSG00000002982",1,0,1,0,3,2
"ENSG00000002983",0,0,0,0,0,0
"ENSG00000002984",1,0,0,3,2,8
"ENSG00000002985",13,3,12,8,1,1
"ENSG00000002986",2,0,4,2,1,0
"ENSG00000002987",1,1,0,0,1,0
"ENSG00000002988",11,8,9,7,13,6
"ENSG00000002989",0,3,0,0,0,1
"ENSG00000002990",0,0,0,0,1,0
"ENSG00000002991",1,1,0,0,1,0
"ENSG00000002992",189,109,45,70,93,118
"ENSG00000002993",1,0,0,0,0,0
"ENSG00000002994",757,1012,903,1267,519,602
"ENSG00000002995",8,3,6,2,1,10
"ENSG00000002996",0,0,0,0,0,0
"ENSG00000002997",24,19,17,15,13,11
"ENSG00000002998",11,8,13,9,11,4
"ENSG00000002999",33,13,11,15,22,11
"ENSG00000003000",6,3,4,0,1,4
"ENSG00000003001",3,8,4,11,2,10
"ENSG00000003002",3,9,2,0,6,3
"ENSG00000003003",1,2,1,0,1,0
"ENSG00000003004",0,1,0,0,1,0
"ENSG00000003005",108,101,87,116,166,155
"ENSG00000003006",0,0,0,1,2,0
"ENSG00000003007",0,1,0,0,0,2
"ENSG00000003008",1,1,2,3,0,1
"ENSG00000003009",93,132,62,52,118,112
"ENSG00000003010",3,6,4,6,5,0
"ENSG00000003011",0,0,0,0,0,0
"ENSG00000003012",122,69,87,92,93,65
"ENSG00000003013",4,2,4,1,0,2
"ENSG00000003014",0,0,0,0,0,0
"ENSG00000003015",34,11,18,31,8,27
"ENSG00000003016",8,0,0,0,2,1
"ENSG00000003017",123,51,51,50,51,27
"ENSG00000003018",0,0,0,1,1,0
"ENSG00000003019",497,515,502,309,803,388
"ENSG00000003020",1,0,0,0,1,0
"ENSG00000003021",10,26,16,20,5,6
"ENSG00000003022",0,0,2,0,0,1
"ENSG00000003023",35,34,37,30,50,47
"ENSG00000003024",1,0,1,0,2,1
"ENSG00000003025",13,15,5,17,32,15
"ENSG00000003026",0,1,1,1,0,1
"ENSG00000003027",31,12,8,5,16,12
"ENSG00000003028",596,466,345,474,343,415
"ENSG00000003029",8,11,7,7,7,4
"ENSG00000003030",0,0,0,1,1,1
"ENSG00000003031",2,2,2,5,2,5
"ENSG00000003032",11,10,8,6,4,4
"ENSG00000003033",2,6,2,0,1,1
"ENSG00000003034",120,115,96,148,100,59
"ENSG00000003035",0,0,0,0,0,0
"ENSG00000003036",17,7,25,13,27,20
"ENSG00000003037",14,8,22,26,21,27
"ENSG00000003038",0,0,0,0,0,1
"ENSG00000003039",0,0,0,0,0,0
"ENSG00000003040",0,0,0,0,0,0
"ENSG00000003041",35,59,65,96,32,89
"ENSG00000003042",36,21,12,18,15,36
"ENSG00000003043",0,0,0,0,0,1
"ENSG00000003044",72,69,107,49,51,110
"ENSG00000003045",23,63,51,44,36,30
"ENSG00000003046",155,122,73,96,123,49
"ENSG00000003047",0,0,0,0,0,0
"ENSG00000003048",242,289,182,252,233,228
"ENSG00000003049",0,0,0,0,1,0
"ENSG00000003050",0,0,0,0,0,3
"ENSG00000003051",7,28,5,14,35,12
"ENSG00000003052",17,44,47,60,18,48
"ENSG00000003053",26,17,26,7,9,12
"ENSG00000003054",0,1,0,0,0,1
"ENSG00000003055",13,5,4,5,13,6
"ENSG00000003056",0,0,0,0,0,0
"ENSG00000003057",1035,1287,955,1539,1222,1081
"ENSG00000003058",0,1,0,1,0,0
"ENSG00000003059",0,0,2,1,0,0
"ENSG00000003060",0,1,0,1,0,0
"ENSG00000003061",0,1,0,1,0,0
"ENSG00000003062",1,0,2,0,0,0
"ENSG00000003063",1,0,2,1,0,2
"ENSG00000003064",46,40,14,41,32,9
"ENSG00000003065",432,397,685,349,604,417
"ENSG00000003066",0,0,0,1,0,1
"ENSG00000003067",10,11,3,12,4,1
"ENSG00000003068",0,0,0,1,1,1
"ENSG00000003069",64,48,40,28,63,40
"ENSG00000003070",27,31,18,10,36,20
"ENSG00000003071",36,61,2,75,28,40
"ENSG00000003072",17,12,11,4,27,26
"ENSG00000003073",14,19,46,33,31,17
"ENSG00000003074",0,1,2,1,0,0
"ENSG00000003075",133,115,58,148,56,110
"ENSG00000003076",113,115,16,93,35,118
"ENSG00000003077",0,2,1,2,0,0
"ENSG00000003078",173,592,333,68,263,330
"ENSG00000003079",38,21,9,25,14,42
"ENSG00000003080",118,46,40,7,75,59
"ENSG00000003081",26,24,37,25,21,19
"ENSG00000003082",0,1,0,0,1,1
"ENSG00000003083",72,68,96,28,96,77
"ENSG00000003084",0,1,2,0,1,1
"ENSG00000003085",1,3,2,3,4,2
"ENSG00000003086",0,0,0,0,0,0
"ENSG00000003087",224,134,241,326,111,355
"ENSG00000003088",0,1,0,0,0,1
"ENSG00000003089",181,139,198,131,83,179
"ENSG00000003090",3,3,0,1,0,1
"ENSG00000003091",0,0,0,0,0,0
"ENSG00000003092",3,1,0,2,0,0
"ENSG00000003093",16,13,8,2,18,21
"ENSG00000003094",36,21,5,23,8,16
"ENSG00000003095",20,18,33,23,52,79
"ENSG00000003096",14,6,3,2,15,9
"ENSG00000003097",13,13,11,11,16,30
"ENSG00000003098",55,77,6,37,74,24
"ENSG00000003099",4,1,1,1,2,1
"ENSG00000003100",0,1,0,0,0,1
"ENSG00000003101",0,1,0,0,1,0
"ENSG00000003102",0,0,0,0,0,1
"ENSG00000003103",0,3,1,1,1,1
"ENSG00000003104",0,1,1,1,1,2
"ENSG00000003105",2,0,0,0,1,1
"ENSG00000003106",7,7,6,6,3,3
"ENSG00000003107",281,159,98,120,184,92
"ENSG00000003108",37,42,26,23,37,50
"ENSG00000003109",12,4,7,2,4,3
"ENSG00000003110",91,40,58,98,64,61
"ENSG00000003111",56,64,22,25,41,33
"ENSG00000003112",2,0,1,0,1,0
"ENSG00000003113",19,3,0,4,4,5
"ENSG00000003114",0,0,1,0,0,0
"ENSG00000003115",43,55,54,30,30,54
"ENSG00000003116",33,20,27,16,13,9
"ENSG00000003117",0,5,1,0,2,1
"ENSG00000003118",41,40,16,66,42,33
"ENSG00000003119",0,0,0,1,1,1
"ENSG00000003120",0,1,1,2,0,0
"ENSG00000003121",3,1,0,1,1,3
"ENSG00000003122",0,0,0,0,0,0
"ENSG00000003123",2,0,0,0,1,0
"ENSG00000003124",0,2,2,1,0,0
"ENSG00000003125",0,0,0,2,1,0
"ENSG00000003126",0,1,1,0,0,0
"ENSG00000003127",0,2,1,3,2,6
"ENSG00000003128",0,0,0,0,2,0
"ENSG00000003129",3,3,4,0,3,4
"ENSG00000003130",15,21,2,23,2,25
"ENSG00000003131",2,3,0,2,3,1
"ENSG00000003132",2,4,4,4,2,1
"ENSG00000003133",3,2,6,1,2,1
"ENSG00000003134",0,0,2,0,0,0
"ENSG00000003135",0,0,0,0,1,0
"ENSG00000003136",1,8,3,2,16,3
"ENSG00000003137",6,14,4,9,6,9
"ENSG00000003138",0,2,1,0,0,0
"ENSG00000003139",91,98,49,51,117,98
"ENSG00000003140",6,2,1,3,1,5
"ENSG00000003141",0,2,0,1,0,0
"ENSG00000003142",6,4,4,6,3,4
"ENSG00000003143",0,0,0,1,0,0
"ENSG00000003144",47,23,24,26,44,25
"ENSG00000003145",11,44,22,27,29,12
"ENSG00000003146",0,2,0,0,1,1
"ENSG00000003147",7,14,7,4,26,6
"ENSG00000003148",68,39,32,50,19,49
"ENSG00000003149",1,0,0,1,0,0
"ENSG00000003150",5,17,3,5,13,8
"ENSG00000003151",480,691,438,388,641,958
"ENSG00000003152",7,1,3,1,1,3
"ENSG00000003153",1765,1014,870,1318,783,483
"ENSG00000003154",0,0,1,1,2,1
"ENSG00000003155",3,9,3,14,4,5
"ENSG00000003156",1,0,1,0,0,1
"ENSG00000003157",9,2,5,10,10,12
"ENSG00000003158",1,1,1,1,0,0
"ENSG00000003159",607,571,336,225,831,130
"ENSG00000003160",89,33,37,46,75,92
"ENSG00000003161",1,0,0,0,0,0
"ENSG00000003162",28,10,21,71,29,19
"ENSG00000003163",0,0,1,0,2,1
"ENSG00000003164",1,0,0,1,0,1
"ENSG00000003165",84,84,126,80,55,77
"ENSG00000003166",40,57,45,38,33,29
"ENSG00000003167",13,8,3,8,7,3
"ENSG00000003168",218,258,182,680,487,226
"ENSG00000003169",0,0,0,0,0,0
"ENSG00000003170",0,0,0,2,1,0
"ENSG00000003171",0,0,0,0,0,0
"ENSG00000003172",9,4,3,1,6,5
"ENSG00000003173",1,2,1,1,1,1
"ENSG00000003174",4,5,4,6,3,0
"ENSG00000003175",2,2,1,1,1,2
"ENSG00000003176",49,23,31,32,41,50
"ENSG00000003177",9,2,0,3,4,1
"ENSG00000003178",0,0,0,2,1,1
"ENSG00000003179",0,1,0,0,0,1
"ENSG00000003180",0,2,0,0,0,0
"ENSG00000003181",4,3,2,2,1,4
"ENSG00000003182",1,0,0,2,0,1
"ENSG00000003183",18,32,20,6,17,13
"ENSG00000003184",1,1,1,0,0,3
"ENSG00000003185",14,29,18,12,4,18
"ENSG00000003186",1,0,1,0,0,1
"ENSG00000003187",0,0,0,0,1,1
"ENSG00000003188",0,0,0,1,0,0
"ENSG00000003189",0,0,1,0,0,0
"ENSG00000003190",0,1,0,0,0,1
"ENSG00000003191",2,7,2,4,3,0
"ENSG00000003192",105,103,71,121,110,66
"ENSG00000003193",0,1,1,0,1,1
"ENSG00000003194",1142,555,765,1355,1485,759
"ENSG00000003195",2,1,0,0,0,1
"ENSG00000003196",8,3,0,5,3,8
"ENSG00000003197",32,10,19,9,28,13
"ENSG00000003198",1,2,3,3,3,0
"ENSG00000003199",7,3,1,3,4,4
"ENSG00000003200",27,11,21,47,36,17
"ENSG00000003201",1,0,0,1,0,2
"ENSG00000003202",54,35,38,72,41,105
"ENSG00000003203",0,0,2,0,0,0
"ENSG00000003204",38,70,30,46,32,26
"ENSG00000003205",8,12,3,5,2,5
"ENSG00000003206",54,47,43,118,57,58
"ENSG00000003207",7,15,6,6,6,8
"ENSG00000003208",594,743,546,87,488,317
"ENSG00000003209",33,70,28,48,68,51
"ENSG00000003210",1,0,0,0,0,1
"ENSG00000003211",5,3,2,11,5,0
"ENSG00000003212",131,175,308,109,162,128
"ENSG00000003213",219,177,71,259,70,201
"ENSG00000003214",150,54,44,83,46,37
"ENSG00000003215",433,537,586,673,336,709
"ENSG00000003216",384,222,358,163,280,431
"ENSG00000003217",132,215,92,75,169,208
"ENSG00000003218",1,0,1,1,0,2
"ENSG00000003219",0,2,0,0,1,1
"ENSG00000003220",59,28,60,68,213,90
"ENSG00000003221",478,143,121,201,130,71
"ENSG00000003222",0,2,1,0,0,0
"ENSG00000003223",342,110,99,233,256,213
"ENSG00000003224",10,1,1,4,2,0
"ENSG00000003225",4,0,0,1,2,0
"ENSG00000003226",0,0,0,1,1,1
"ENSG00000003227",0,0,1,1,1,0
"ENSG00000003228",6,4,2,0,1,4
"ENSG00000003229",97,65,91,180,152,75
"ENSG00000003230",35,27,24,19,17,26
