"","data/Exp2_A_Sample_1","data/Exp2_A_Sample_2","data/Exp2_B_Sample_1","data/Exp2_B_Sample_2","data/Exp2_C_Sample_1","data/Exp2_C_Sample_2"
"ENSG00000002293",0,0,0,0,0,0
"ENSG00000002294",132,236,214,88,104,304
"ENSG00000002295",0,0,0,0,0,0
"ENSG00000002296",6,6,3,11,12,3
"ENSG00000002297",62,95,79,122,78,60
"ENSG00000002298",25,17,16,14,34,24
"ENSG00000002299",0,0,1,0,1,0
"ENSG00000002300",0,0,0,0,0,0
"ENSG00000002301",3,0,0,2,0,3
"ENSG00000002302",3,22,17,8,14,8
"ENSG00000002303",14,56,33,14,31,21
"ENSG00000002304",1797,3691,4139,1035,1130,1220
"ENSG00000002305",9,13,13,1,4,5
"ENSG00000002306",1,1,1,2,1,4
"ENSG00000002307",1,0,0,0,2,0
"ENSG00000002308",1,0,2,0,0,0
"ENSG00000002309",382,655,960,1421,879,359
"ENSG00000002310",5,5,10,8,9,6
"ENSG00000002311",2,5,7,0,4,1
"ENSG00000002312",1,3,2,2,1,2
"ENSG00000002313",3,3,2,2,1,4
"ENSG00000002314",6,14,5,6,5,5
"ENSG00000002315",5,24,19,9,22,14
"ENSG00000002316",0,1,0,1,1,1
"ENSG00000002317",0,0,0,0,0,0
"ENSG00000002318",28,96,29,24,37,67
"ENSG00000002319",3,0,1,3,3,5
"ENSG00000002320",20,19,57,35,22,33
"ENSG00000002321",1,0,2,0,0,0
"ENSG00000002322",20,62,54,46,44,31
"ENSG00000002323",39,27,46,42,24,28
"ENSG00000002324",0,1,1,0,1,0
"ENSG00000002325",0,1,0,1,1,0
"ENSG00000002326",0,0,0,0,1,2
"ENSG00000002327",6,7,3,7,7,3
"ENSG00000002328",0,1,0,0,0,0
"ENSG00000002329",9,17,16,26,25,18
"ENSG00000002330",9,6,6,2,4,2
"ENSG00000002331",0,1,3,0,0,0
"ENSG00000002332",9,9,5,8,9,5
"ENSG00000002333",18,32,23,58,25,48
"ENSG00000002334",27,46,49,47,16,36
"ENSG00000002335",19,50,36,15,17,32
"ENSG00000002336",8,25,12,43,13,24
"ENSG00000002337",0,0,0,0,0,0
"ENSG00000002338",0,0,0,0,0,1
"ENSG00000002339",10,31,16,39,11,16
"ENSG00000002340",6,29,7,6,6,6
"ENSG00000002341",26,73,11,15,6,31
"ENSG00000002342",15,36,15,20,22,15
"ENSG00000002343",0,1,0,0,0,0
"ENSG00000002344",0,1,0,1,1,0
"ENSG00000002345",200,204,54,180,189,241
"ENSG00000002346",3,4,5,2,4,6
"ENSG00000002347",7,11,5,0,8,8
"ENSG00000002348",16,12,21,20,19,12
"ENSG00000002349",2389,3970,1992,1812,3166,3200
"ENSG00000002350",64,24,63,104,67,106
"ENSG00000002351",0,0,1,0,0,0
"ENSG00000002352",0,1,0,0,0,1
"ENSG00000002353",12,17,17,7,12,4
"ENSG00000002354",0,0,2,0,0,0
"ENSG00000002355",1,0,0,0,1,0
"ENSG00000002356",8,7,13,4,9,12
"ENSG00000002357",0,0,0,0,0,0
"ENSG00000002358",32,53,40,57,19,29
"ENSG00000002359",6,6,2,9,10,15
"ENSG00000002360",22,46,49,66,35,18
"ENSG00000002361",12,12,28,29,24,33
"ENSG00000002362",201,199,356,195,255,214
"ENSG00000002363",5,9,19,28,14,22
"ENSG00000002364",0,0,0,0,0,0
"ENSG00000002365",1,0,0,0,0,1
"ENSG00000002366",63,128,58,75,153,134
"ENSG00000002367",121,246,175,154,87,166
"ENSG00000002368",1,1,3,1,1,1
"ENSG00000002369",0,1,0,0,1,0
"ENSG00000002370",0,0,1,0,0,0
"ENSG00000002371",0,1,0,0,0,3
"ENSG00000002372",0,2,0,0,0,0
"ENSG00000002373",4,9,6,5,7,1
"ENSG00000002374",9,33,57,47,37,12
"ENSG00000002375",6,10,20,15,12,26
"ENSG00000002376",19,24,23,13,41,43
"ENSG00000002377",0,0,1,1,0,0
"ENSG00000002378",79,92,99,85,175,165
"ENSG00000002379",7,8,7,16,4,7
"ENSG00000002380",3,5,12,0,1,5
"ENSG00000002381",0,0,0,0,0,1
"ENSG00000002382",0,1,0,2,0,1
"ENSG00000002383",0,0,1,0,1,1
"ENSG00000002384",96,86,72,61,123,68
"ENSG00000002385",2,1,0,0,1,0
"ENSG00000002386",82,354,114,248,125,118
"ENSG00000002387",2,0,0,1,0,2
"ENSG00000002388",7,9,5,2,0,8
"ENSG00000002389",1,7,11,15,4,11
"ENSG00000002390",0,0,0,0,0,0
"ENSG00000002391",3,0,7,10,8,4
"ENSG00000002392",213,134,344,266,243,108
"ENSG00000002393",17,16,16,12,29,11
"ENSG00000002394",39,37,34,14,62,49
"ENSG00000002395",0,0,0,0,0,0
"ENSG00000002396",1,0,0,1,0,0
"ENSG00000002397",0,2,1,0,2,3
"ENSG00000002398",24,99,50,8,25,10
"ENSG00000002399",89,67,96,88,51,25
"ENSG00000002400",320,633,330,391,197,360
"ENSG00000002401",1,2,0,0,0,1
"ENSG00000002402",72,188,204,226,216,104
"ENSG00000002403",4,22,6,9,19,5
"ENSG00000002404",0,0,0,0,0,0
"ENSG00000002405",108,74,116,35,93,98
"ENSG00000002406",73,52,115,76,100,103
"ENSG00000002407",2,0,0,0,1,0
"ENSG00000002408",0,1,0,0,0,1
"ENSG00000002409",19,57,17,11,12,24
"ENSG00000002410",10,30,6,16,28,7
"ENSG00000002411",2,1,0,1,0,0
"ENSG00000002412",0,9,7,3,2,6
"ENSG00000002413",235,200,119,173,81,49
"ENSG00000002414",8,2,6,3,4,8
"ENSG00000002415",2,11,7,7,4,18
"ENSG00000002416",19,12,16,24,13,32
"ENSG00000002417",0,0,3,0,0,3
"ENSG00000002418",0,0,1,1,1,0
"ENSG00000002419",3,15,2,2,2,9
"ENSG00000002420",0,0,0,1,1,0
"ENSG00000002421",0,1,1,0,1,2
"ENSG00000002422",73,113,133,187,64,129
"ENSG00000002423",1,0,0,0,0,0
"ENSG00000002424",0,3,1,1,6,1
"ENSG00000002425",26,39,32,15,16,25
"ENSG00000002426",1,2,2,1,0,2
"ENSG00000002427",1,0,0,1,2,0
"ENSG00000002428",0,10,2,3,1,1
"ENSG00000002429",0,0,0,0,0,0
"ENSG00000002430",0,0,0,0,0,0
"ENSG00000002431",4,8,4,1,2,1
"ENSG00000002432",9,33,51,16,37,20
"ENSG00000002433",20,102,12,190,80,61
"ENSG00000002434",78,34,69,167,140,55
"ENSG00000002435",105,56,76,21,57,52
"ENSG00000002436",1,0,1,0,1,0
"ENSG00000002437",1,0,0,1,1,0
"ENSG00000002438",122,96,168,143,184,210
"ENSG00000002439",14,20,37,7,6,18
"ENSG00000002440",0,0,1,0,2,2
"ENSG00000002441",0,1,1,0,1,1
"ENSG00000002442",13,24,3,7,13,12
"ENSG00000002443",0,0,1,1,0,1
"ENSG00000002444",10,11,18,10,10,13
"ENSG00000002445",143,248,33,90,95,88
"ENSG00000002446",2,0,1,0,7,3
"ENSG00000002447",457,558,221,1042,498,890
"ENSG00000002448",0,0,0,0,0,0
"ENSG00000002449",10,36,30,31,36,21
"ENSG00000002450",0,0,2,1,0,0
"ENSG00000002451",3,1,1,0,1,0
"ENSG00000002452",1,1,5,2,1,2
"ENSG00000002453",1,2,0,0,0,0
"ENSG00000002454",67,94,45,75,69,39
"ENSG00000002455",1,0,1,0,0,1
"ENSG00000002456",256,767,504,395,668,712
"ENSG00000002457",160,165,102,153,371,293
"ENSG00000002458",0,2,0,0,1,0
"ENSG00000002459",18,30,21,28,14,8
"ENSG00000002460",1,1,0,1,0,2
"ENSG00000002461",0,1,0,0,1,2
"ENSG00000002462",51,26,48,60,55,61
"ENSG00000002463",0,0,0,0,0,0
"ENSG00000002464",20,14,12,57,23,27
"ENSG00000002465",271,592,169,501,286,148
"ENSG00000002466",166,216,281,221,131,261
"ENSG00000002467",0,0,0,2,1,0
"ENSG00000002468",1,0,0,1,0,1
"ENSG00000002469",9,8,11,8,6,1
"ENSG00000002470",6,14,15,35,4,22
"ENSG00000002471",21,23,36,19,9,18
"ENSG00000002472",0,0,0,0,0,0
"ENSG00000002473",2,2,0,1,0,0
"ENSG00000002474",4,4,1,5,2,4
"ENSG00000002475",12,6,8,7,6,13
"ENSG00000002476",1,1,0,0,0,0
"ENSG00000002477",2,1,3,2,4,3
"ENSG00000002478",2,3,2,5,0,0
"ENSG00000002479",0,0,0,0,1,0
"ENSG00000002480",0,0,2,0,1,0
"ENSG00000002481",1,9,2,6,6,6
"ENSG00000002482",1,1,0,1,1,2
"ENSG00000002483",0,1,1,1,1,0
"ENSG00000002484",31,47,27,41,41,72
"ENSG00000002485",10,45,38,42,20,56
"ENSG00000002486",4,22,18,23,6,37
"ENSG00000002487",0,2,0,0,0,0
"ENSG00000002488",711,1132,622,1729,1391,633
"ENSG00000002489",669,608,620,583,522,1085
"ENSG00000002490",2,0,0,2,0,0
"ENSG00000002491",4,9,5,14,12,7
"ENSG00000002492",14,24,13,10,8,5
"ENSG00000002493",0,1,0,1,0,1
"ENSG00000002494",4,1,3,3,4,11
"ENSG00000002495",1,1,0,1,1,1
"ENSG00000002496",3,13,4,3,3,8
"ENSG00000002497",44,40,44,36,39,60
"ENSG00000002498",2,0,1,0,1,0
"ENSG00000002499",158,118,62,89,137,49
"ENSG00000002500",185,219,426,407,259,339
"ENSG00000002501",21,83,25,42,42,14
"ENSG00000002502",0,1,0,0,0,1
"ENSG00000002503",0,0,1,0,0,1
"ENSG00000002504",0,2,0,0,2,4
"ENSG00000002505",1,7,3,2,3,12
"ENSG00000002506",5,3,9,5,5,28
"ENSG00000002507",71,117,119,43,121,75
"ENSG00000002508",232,131,182,208,239,228
"ENSG00000002509",34,58,15,51,37,26
"ENSG00000002510",0,3,1,1,0,0
"ENSG00000002511",13,23,7,11,3,6
"ENSG00000002512",0,0,0,0,0,1
"ENSG00000002513",52,50,20,57,23,29
"ENSG00000002514",1,0,2,2,1,0
"ENSG00000002515",0,0,0,0,0,1
"ENSG00000002516",60,54,102,50,58,28
"ENSG00000002517",9,14,74,52,24,6
"ENSG00000002518",1,1,0,1,1,0
"ENSG00000002519",0,0,0,0,0,0
"ENSG00000002520",4,10,27,55,10,15
"ENSG00000002521",0,0,1,0,2,0
"ENSG00000002522",18,92,52,26,16,42
"ENSG00000002523",700,174,343,266,756,448
"ENSG00000002524",0,0,0,0,0,0
"ENSG00000002525",67,48,75,60,40,37
"ENSG00000002526",0,2,1,1,1,1
"ENSG00000002527",9,27,36,28,47,30
"ENSG00000002528",71,120,70,19,152,52
"ENSG00000002529",4,3,5,3,1,3
"ENSG00000002530",68,72,94,56,106,95
"ENSG00000002531",38,74,77,34,38,24
"ENSG00000002532",24,5,19,26,17,11
"ENSG00000002533",0,1,2,3,1,1
"ENSG00000002534",4,7,1,10,3,3
"ENSG00000002535",2,6,3,2,2,2
"ENSG00000002536",0,0,0,3,0,0
"ENSG00000002537",0,0,0,0,0,0
"ENSG00000002538",5,7,13,11,5,3
"ENSG00000002539",1,2,0,0,0,1
"ENSG00000002540",0,1,0,0,0,1
"ENSG00000002541",24,32,23,25,57,48
"ENSG00000002542",0,0,0,0,0,1
"ENSG00000002543",419,923,1921,637,589,569
"ENSG00000002544",0,0,0,1,0,0
"ENSG00000002545",0,0,0,0,0,0
"ENSG00000002546",0,1,0,0,2,1
"ENSG00000002547",6,5,5,9,1,2
"ENSG00000002548",9,33,19,11,38,11
"ENSG00000002549",0,2,2,5,4,5
"ENSG00000002550",0,1,0,2,0,1
"ENSG00000002551",1,1,1,1,0,0
"ENSG00000002552",0,0,0,0,0,1
"ENSG00000002553",1,0,1,2,0,0
"ENSG00000002554",53,53,89,27,42,51
"ENSG00000002555",1,0,1,0,0,3
"ENSG00000002556",25,79,22,80,43,30
"ENSG00000002557",109,130,70,71,93,104
"ENSG00000002558",1,3,2,1,9,1
"ENSG00000002559",15,28,14,19,10,14
"ENSG00000002560",1039,1200,1324,770,1192,1431
"ENSG00000002561",13,90,23,59,15,33
"ENSG00000002562",2,0,1,0,1,1
"ENSG00000002563",9,3,9,3,7,12
"ENSG00000002564",4,1,1,3,4,3
"ENSG00000002565",0,0,0,0,1,1
"ENSG00000002566",9,10,11,11,7,13
"ENSG00000002567",177,393,210,296,193,158
"ENSG00000002568",0,0,2,0,0,0
"ENSG00000002569",4,20,10,4,4,7
"ENSG00000002570",78,74,101,102,93,48
"ENSG00000002571",0,1,0,0,1,0
"ENSG00000002572",35,39,11,32,13,16
"ENSG00000002573",0,0,0,0,2,1
"ENSG00000002574",108,151,267,124,89,72
"ENSG00000002575",4,2,8,4,13,3
"ENSG00000002576",13,29,27,19,24,28
"ENSG00000002577",0,2,0,0,1,1
"ENSG00000002578",0,0,0,0,0,0
"ENSG00000002579",1,0,0,1,1,1
"ENSG00000002580",1,5,5,2,2,1
"ENSG00000002581",5,6,4,6,5,3
"ENSG00000002582",0,0,0,1,0,0
"ENSG00000002583",751,9608,3905,6015,4480,5613
"ENSG00000002584",7,5,15,21,9,0
"ENSG00000002585",4,2,1,1,1,1
"ENSG00000002586",3,0,1,0,1,0
"ENSG00000002587",1,9,3,2,2,2
"ENSG00000002588",0,0,1,0,0,1
"ENSG00000002589",3,6,7,10,9,11
"ENSG00000002590",3,5,2,0,6,2
"ENSG00000002591",6,4,1,3,0,0
"ENSG00000002592",21,118,120,113,72,99
"ENSG00000002593",0,1,0,1,1,1
"ENSG00000002594",144,802,299,593,287,386
"ENSG00000002595",0,0,0,0,0,0
"ENSG00000002596",0,2,2,1,5,0
"ENSG00000002597",1,0,1,0,1,0
"ENSG00000002598",21,42,25,36,108,47
"ENSG00000002599",2,5,3,2,4,2
"ENSG00000002600",12,21,37,9,7,17
"ENSG00000002601",2,7,4,6,4,5
"ENSG00000002602",17,13,25,10,25,3
"ENSG00000002603",12,21,46,18,15,21
"ENSG00000002604",6,17,109,67,95,81
"ENSG00000002605",1,0,1,0,1,0
"ENSG00000002606",0,0,0,0,0,0
"ENSG00000002607",11,8,23,29,9,9
"ENSG00000002608",66,162,56,193,83,115
"ENSG00000002609",1,1,3,3,7,3
"ENSG00000002610",0,0,0,0,0,0
"ENSG00000002611",247,330,505,460,504,344
"ENSG00000002612",43,26,58,74,52,72
"ENSG00000002613",754,4430,4483,3323,1907,913
"ENSG00000002614",34,55,58,80,66,33
"ENSG00000002615",0,0,0,0,0,0
"ENSG00000002616",1,0,0,1,0,1
"ENSG00000002617",0,0,0,0,0,0
"ENSG00000002618",3,1,0,0,1,0
"ENSG00000002619",35,178,58,69,67,37
"ENSG00000002620",3,6,2,7,2,4
"ENSG00000002621",24,22,52,44,28,13
"ENSG00000002622",1,0,1,2,1,0
"ENSG00000002623",2,3,4,3,1,1
"ENSG00000002624",0,0,0,0,0,0
"ENSG00000002625",1,5,4,4,0,4
"ENSG00000002626",27,36,15,8,43,35
"ENSG00000002627",0,0,0,0,1,1
"ENSG00000002628",0,0,1,0,1,0
"ENSG00000002629",0,1,0,1,1,0
"ENSG00000002630",2,2,1,0,0,0
"ENSG00000002631",66,56,31,21,28,19
"ENSG00000002632",31,151,46,104,26,56
"ENSG00000002633",38,73,68,35,91,135
"ENSG00000002634",0,0,0,0,0,0
"ENSG00000002635",2,0,0,1,3,1
"ENSG00000002636",0,4,0,3,2,2
"ENSG00000002637",1405,3119,5501,2060,775,776
"ENSG00000002638",298,175,1416,146,483,432
"ENSG00000002639",252,403,239,249,324,495
"ENSG00000002640",1,0,0,1,1,1
"ENSG00000002641",683,462,607,869,630,1214
"ENSG00000002642",11,11,12,29,17,21
"ENSG00000002643",0,0,1,0,0,1
"ENSG00000002644",16,25,15,16,22,7
"ENSG00000002645",1,0,0,0,0,0
"ENSG00000002646",0,0,0,1,1,1
"ENSG00000002647",68,233,73,142,156,18
"ENSG00000002648",0,3,4,1,3,1
"ENSG00000002649",36,145,106,59,20,87
"ENSG00000002650",0,0,0,1,1,1
"ENSG00000002651",0,0,0,0,2,0
"ENSG00000002652",2,3,1,2,0,0
"ENSG00000002653",1,0,0,0,0,1
"ENSG00000002654",20,19,15,23,14,7
"ENSG00000002655",196,610,437,929,652,335
"ENSG00000002656",2,0,1,2,0,0
"ENSG00000002657",5,0,2,3,0,1
"ENSG00000002658",1,9,1,3,4,1
"ENSG00000002659",0,0,1,1,0,0
"ENSG00000002660",2,0,0,0,2,1
"ENSG00000002661",1,2,0,2,0,0
"ENSG00000002662",80,172,172,110,42,271
"ENSG00000002663",0,0,0,0,1,0
"ENSG00000002664",0,1,0,0,0,2
"ENSG00000002665",0,0,0,0,1,1
"ENSG00000002666",12,51,19,42,18,7
"ENSG00000002667",450,458,232,557,316,362
"ENSG00000002668",1,10,4,8,1,1
"ENSG00000002669",15,36,29,16,58,17
"ENSG00000002670",16,60,21,75,64,81
"ENSG00000002671",392,433,631,184,180,143
"ENSG00000002672",3,0,0,0,1,0
"ENSG00000002673",1,0,0,0,2,1
"ENSG00000002674",4,1,7,4,7,13
"ENSG00000002675",87,309,86,165,56,117
"ENSG00000002676",8,23,12,46,11,46
"ENSG00000002677",43,114,53,100,60,107
"ENSG00000002678",7,52,12,20,17,17
"ENSG00000002679",1,1,0,0,1,0
"ENSG00000002680",2,2,0,0,1,1
"ENSG00000002681",0,0,1,0,0,0
"ENSG00000002682",2,1,0,1,0,1
"ENSG00000002683",14,1,11,1,5,5
"ENSG00000002684",7,10,20,9,6,6
"ENSG00000002685",2,5,2,7,2,4
"ENSG00000002686",4,6,6,13,10,2
"ENSG00000002687",18,20,9,19,42,11
"ENSG00000002688",11,43,55,40,38,29
"ENSG00000002689",0,0,0,0,0,0
"ENSG00000002690",876,2057,718,575,338,1095
"ENSG00000002691",0,0,0,0,0,0
"ENSG00000002692",0,0,2,3,2,3
"ENSG00000002693",0,1,2,2,2,1
"ENSG00000002694",10,2,2,7,2,3
"ENSG00000002695",1,2,1,0,3,1
"ENSG00000002696",139,259,407,123,250,188
"ENSG00000002697",97,87,101,158,102,100
"ENSG00000002698",1,2,1,1,1,1
"ENSG00000002699",15,22,20,10,10,9
"ENSG00000002700",0,2,0,0,2,3
"ENSG00000002701",5,18,15,4,11,4
"ENSG00000002702",636,2894,1342,1728,2086,1962
"ENSG00000002703",168,159,170,298,153,152
"ENSG00000002704",14,23,19,17,19,18
"ENSG00000002705",0,0,0,1,1,0
"ENSG00000002706",1,0,1,5,1,1
"ENSG00000002707",0,0,0,0,0,0
"ENSG00000002708",1,0,0,0,0,1
"ENSG00000002709",29,27,17,33,27,14
"ENSG00000002710",129,170,148,122,179,183
"ENSG00000002711",4,5,0,6,3,3
"ENSG00000002712",5,3,3,8,3,5
"ENSG00000002713",45,18,95,10,22,54
"ENSG00000002714",1,0,0,0,1,0
"ENSG00000002715",79,82,106,103,124,90
"ENSG00000002716",0,0,0,0,1,0
"ENSG00000002717",76,264,245,110,84,74
"ENSG00000002718",1,1,0,0,1,2
"ENSG00000002719",0,1,0,2,1,0
"ENSG00000002720",1,4,9,12,3,17
"ENSG00000002721",1,0,1,0,0,0
"ENSG00000002722",0,0,0,1,1,1
"ENSG00000002723",0,0,0,1,0,0
"ENSG00000002724",45,100,67,137,22,61
"ENSG00000002725",10,21,25,10,18,9
"ENSG00000002726",0,0,0,0,0,0
"ENSG00000002727",1,1,1,1,0,0
"ENSG00000002728",2,2,1,0,0,0
"ENSG00000002729",0,5,0,2,1,3
"ENSG00000002730",6,7,11,10,6,4
"ENSG00000002731",281,162,202,257,136,208
"ENSG00000002732",2,1,0,0,0,1
"ENSG00000002733",0,0,0,2,3,1
"ENSG00000002734",19,31,24,6,14,9
"ENSG00000002735",57,205,136,200,59,108
"ENSG00000002736",27,51,156,81,76,69
"ENSG00000002737",0,1,0,1,0,0
"ENSG00000002738",10,57,47,33,25,13
"ENSG00000002739",6,14,15,12,4,11
"ENSG00000002740",0,0,2,2,0,1
"ENSG00000002741",0,0,0,0,1,0
"ENSG00000002742",28,30,7,19,16,14
"ENSG00000002743",0,0,0,0,0,0
"ENSG00000002744",0,4,3,4,1,10
"ENSG00000002745",10,22,45,37,12,21
"ENSG00000002746",1,0,1,1,1,0
"ENSG00000002747",0,0,0,0,0,0
"ENSG00000002748",188,280,418,326,202,103
"ENSG00000002749",8,7,2,8,17,10
"ENSG00000002750",0,0,0,1,0,0
"ENSG00000002751",11,19,7,14,15,4
"ENSG00000002752",2,3,1,3,3,3
"ENSG00000002753",35,97,20,55,144,21
"ENSG00000002754",2,1,0,0,1,1
"ENSG00000002755",3,1,4,1,0,4
"ENSG00000002756",1,0,0,3,1,1
"ENSG00000002757",73,103,28,47,67,44
"ENSG00000002758",42,61,41,42,54,58
"ENSG00000002759",0,1,1,1,0,1
"ENSG00000002760",2,7,1,0,1,3
"ENSG00000002761",1,1,0,0,2,2
"ENSG00000002762",74,151,70,43,52,71
"ENSG00000002763",0,0,0,0,0,0
"ENSG00000002764",12,58,15,12,24,17
"ENSG00000002765",3,14,8,10,8,11
"ENSG00000002766",2,0,4,6,4,4
"ENSG00000002767",823,142,154,513,316,159
"ENSG00000002768",525,1394,2516,1595,732,2134
"ENSG00000002769",205,157,228,217,436,92
"ENSG00000002770",1,0,1,0,0,1
"ENSG00000002771",317,1775,910,466,157,201
"ENSG00000002772",0,1,1,0,3,1
"ENSG00000002773",8,31,17,2,14,13
"ENSG00000002774",1,0,1,0,0,3
"ENSG00000002775",8,27,35,61,12,21
"ENSG00000002776",18,27,30,14,12,26
"ENSG00000002777",26,18,54,30,24,20
"ENSG00000002778",3,3,6,6,3,7
"ENSG00000002779",2,26,3,0,10,17
"ENSG00000002780",0,0,0,0,0,0
"ENSG00000002781",1,1,4,2,3,7
"ENSG00000002782",20,37,27,10,11,12
"ENSG00000002783",3,13,3,12,9,10
"ENSG00000002784",0,0,0,0,0,0
"ENSG00000002785",4,9,13,11,3,11
"ENSG00000002786",1023,1950,1899,1252,1295,1745
"ENSG00000002787",0,0,0,0,0,1
"ENSG00000002788",0,0,0,0,0,0
"ENSG00000002789",34,201,78,98,82,87
"ENSG00000002790",1,0,0,3,0,1
"ENSG00000002791",0,0,1,0,0,1
"ENSG00000002792",0,1,1,0,0,1
"ENSG00000002793",11,64,36,43,11,38
"ENSG00000002794",33,7,24,11,19,8
"ENSG00000002795",1,3,0,2,1,2
"ENSG00000002796",997,1140,289,583,1781,771
"ENSG00000002797",5,8,16,4,2,4
"ENSG00000002798",2,6,3,5,0,1
"ENSG00000002799",2,6,5,0,10,3
"ENSG00000002800",4,18,19,9,59,42
"ENSG00000002801",0,0,0,0,0,0
"ENSG00000002802",0,4,1,3,1,1
"ENSG00000002803",0,0,1,0,1,0
"ENSG00000002804",1,0,3,0,0,0
"ENSG00000002805",2,1,2,1,0,2
"ENSG00000002806",4,11,5,3,3,3
"ENSG00000002807",36,70,49,157,102,86
"ENSG00000002808",12,63,18,63,32,32
"ENSG00000002809",97,362,236,246,262,109
"ENSG00000002810",5,12,9,6,12,9
"ENSG00000002811",24,18,4,12,33,31
"ENSG00000002812",1,2,0,0,0,0
"ENSG00000002813",941,873,1148,973,406,724
"ENSG00000002814",2,6,0,7,3,0
"ENSG00000002815",0,1,0,1,2,0
"ENSG00000002816",0,0,2,0,0,1
"ENSG00000002817",0,1,1,1,1,0
"ENSG00000002818",2,19,9,2,1,11
"ENSG00000002819",14,47,23,36,30,22
"ENSG00000002820",2,0,0,0,0,1
"ENSG00000002821",2,1,4,8,1,7
"ENSG00000002822",178,230,183,179,262,118
"ENSG00000002823",7,11,6,31,24,10
"ENSG00000002824",23,55,112,50,57,30
"ENSG00000002825",0,1,0,0,0,1
"ENSG00000002826",6,27,6,14,20,23
"ENSG00000002827",27,48,50,60,38,26
"ENSG00000002828",1,0,0,0,0,0
"ENSG00000002829",20,27,11,29,13,29
"ENSG00000002830",27,49,11,17,26,39
"ENSG00000002831",85,75,34,42,66,38
"ENSG00000002832",0,4,1,1,1,1
"ENSG00000002833",0,0,0,1,0,0
"ENSG00000002834",1,0,0,2,1,1
"ENSG00000002835",24,17,50,39,10,10
"ENSG00000002836",86,301,516,724,220,316
"ENSG00000002837",1,2,0,0,0,0
"ENSG00000002838",21,14,48,21,18,52
"ENSG00000002839",40,78,59,64,17,57
"ENSG00000002840",0,0,0,1,1,0
"ENSG00000002841",1,0,1,0,0,0
"ENSG00000002842",8,12,3,14,5,13
"ENSG00000002843",0,0,0,0,1,2
"ENSG00000002844",3,19,10,2,7,3
"ENSG00000002845",19,68,44,56,47,75
"ENSG00000002846",39,41,20,17,32,31
"ENSG00000002847",0,0,0,0,0,0
"ENSG00000002848",6,12,1,9,4,12
"ENSG00000002849",7,14,13,6,5,3
"ENSG00000002850",54,45,38,79,55,47
"ENSG00000002851",15,28,11,13,2,20
"ENSG00000002852",1,0,0,0,0,1
"ENSG00000002853",548,607,722,681,353,492
"ENSG00000002854",16,17,13,18,6,17
"ENSG00000002855",0,0,0,0,0,0
"ENSG00000002856",93,138,40,34,117,101
"ENSG00000002857",0,0,0,0,0,1
"ENSG00000002858",73,431,93,168,283,104
"ENSG00000002859",0,1,0,2,0,0
"ENSG00000002860",1,1,0,2,0,0
"ENSG00000002861",0,0,2,0,0,0
"ENSG00000002862",3,6,10,11,3,5
"ENSG00000002863",5,7,10,6,4,2
"ENSG00000002864",8,16,12,11,9,22
"ENSG00000002865",40,67,19,21,14,43
"ENSG00000002866",382,892,476,825,402,284
"ENSG00000002867",0,0,0,1,0,0
"ENSG00000002868",32,55,56,17,47,9
"ENSG00000002869",0,0,0,0,0,0
"ENSG00000002870",0,0,0,1,0,1
"ENSG00000002871",5,7,2,4,2,6
"ENSG00000002872",5,7,2,2,1,1
"ENSG00000002873",308,369,760,459,837,282
"ENSG00000002874",403,666,409,760,145,230
"ENSG00000002875",1,0,0,0,1,0
"ENSG00000002876",5,3,7,3,1,1
"ENSG00000002877",0,0,0,0,0,0
"ENSG00000002878",0,0,1,4,6,0
"ENSG00000002879",11,23,24,15,6,13
"ENSG00000002880",1,1,0,0,2,1
"ENSG00000002881",0,2,1,0,0,2
"ENSG00000002882",1,1,0,1,4,2
"ENSG00000002883",2,2,2,0,1,2
"ENSG00000002884",598,287,265,784,673,337
"ENSG00000002885",0,1,0,0,0,2
"ENSG00000002886",2,1,0,0,1,0
"ENSG00000002887",0,2,2,0,1,1
"ENSG00000002888",400,662,333,230,507,228
"ENSG00000002889",4,1,11,14,13,8
"ENSG00000002890",8,32,22,23,14,17
"ENSG00000002891",0,0,0,1,0,1
"ENSG00000002892",706,843,482,614,615,594
"ENSG00000002893",0,0,0,0,0,0
"ENSG00000002894",8,8,4,3,4,8
"ENSG00000002895",20,58,10,28,26,21
"ENSG00000002896",126,133,99,195,120,152
"ENSG00000002897",10,12,14,6,16,3
"ENSG00000002898",5,13,9,5,4,8
"ENSG00000002899",7268,5105,7080,12095,6964,4944
"ENSG00000002900",161,494,158,556,678,374
"ENSG00000002901",440,327,180,425,238,318
"ENSG00000002902",52,102,64,47,65,102
"ENSG00000002903",342,480,275,444,352,173
"ENSG00000002904",219,512,168,104,240,101
"ENSG00000002905",2,3,3,2,0,7
"ENSG00000002906",81,36,19,29,58,30
"ENSG00000002907",0,0,0,0,1,0
"ENSG00000002908",0,0,0,1,0,0
"ENSG00000002909",100,206,197,180,64,52
"ENSG00000002910",0,1,2,1,1,0
"ENSG00000002911",156,93,90,73,85,133
"ENSG00000002912",5,9,13,5,6,13
"ENSG00000002913",0,0,0,1,1,0
"ENSG00000002914",2,0,2,5,4,1
"ENSG00000002915",1,0,1,0,0,0
"ENSG00000002916",0,0,0,1,0,0
"ENSG00000002917",9,3,8,1,5,4
"ENSG00000002918",6,3,8,4,1,6
"ENSG00000002919",15,8,11,12,13,19
"ENSG00000002920",0,2,2,0,0,2
"ENSG00000002921",4,5,5,3,2,3
