"","data/Exp1_A_Sample_1","data/Exp1_A_Sample_2","data/Exp1_B_Sample_1","data/Exp1_B_Sample_2","data/Exp1_C_Sample_1","data/Exp1_C_Sample_2"
"ENSG00000002869",707,619,439,599,391,229
"ENSG00000002870",0,1,1,1,0,0
"ENSG00000002871",2908,3731,3059,4413,1676,1582
"ENSG00000002872",4,1,7,11,2,0
"ENSG00000002873",27,32,66,54,13,24
"ENSG00000002874",0,0,0,0,0,0
"ENSG00000002875",3,2,12,9,0,2
"ENSG00000002876",0,2,0,0,0,0
"ENSG00000002877",3,0,1,0,0,1
"ENSG00000002878",0,0,1,1,0,0
"ENSG00000002879",11,2,7,3,6,18
"ENSG00000002880",0,0,1,0,0,0
"ENSG00000002881",1,5,4,3,6,5
"ENSG00000002882",10,4,12,22,5,13
"ENSG00000002883",0,0,0,0,0,0
"ENSG00000002884",174,55,51,42,63,222
"ENSG00000002885",0,1,0,1,0,0
"ENSG00000002886",19,9,10,9,12,10
"ENSG00000002887",0,2,0,1,0,1
"ENSG00000002888",0,0,1,1,0,0
"ENSG00000002889",200,196,423,475,555,333
"ENSG00000002890",6,4,6,3,2,2
"ENSG00000002891",14,21,13,26,11,10
"ENSG00000002892",34,16,21,51,23,10
"ENSG00000002893",3,2,1,0,0,1
"ENSG00000002894",3,6,1,0,1,4
"ENSG00000002895",65,27,27,35,19,32
"ENSG00000002896",24,89,41,79,20,32
"ENSG00000002897",1,1,1,1,0,0
"ENSG00000002898",13,13,4,9,5,5
"ENSG00000002899",376,402,383,273,160,225
"ENSG00000002900",0,0,0,0,0,0
"ENSG00000002901",1,0,0,1,3,1
"ENSG00000002902",1,0,0,1,1,0
"ENSG00000002903",0,0,0,1,1,0
"ENSG00000002904",54,41,45,60,30,19
"ENSG00000002905",18,25,8,28,14,13
"ENSG00000002906",26,15,16,13,20,4
"ENSG00000002907",165,701,616,970,701,398
"ENSG00000002908",218,125,197,217,148,241
"ENSG00000002909",0,1,0,1,0,1
"ENSG00000002910",4,0,2,1,2,1
"ENSG00000002911",252,96,88,202,200,224
"ENSG00000002912",0,0,1,3,1,0
"ENSG00000002913",3,7,2,7,4,0
"ENSG00000002914",53,53,65,27,56,30
"ENSG00000002915",0,1,1,0,0,0
"ENSG00000002916",7,2,10,5,2,7
"ENSG00000002917",2,1,0,0,1,0
"ENSG00000002918",1,0,0,1,0,0
"ENSG00000002919",2,3,0,2,1,0
"ENSG00000002920",96,139,87,139,111,174
"ENSG00000002921",220,147,198,218,96,208
"ENSG00000002922",5,9,6,1,2,5
"ENSG00000002923",11,5,5,19,6,11
"ENSG00000002924",46,52,80,82,48,69
"ENSG00000002925",105,70,140,81,99,103
"ENSG00000002926",1,1,0,2,0,1
"ENSG00000002927",3,2,2,10,0,0
"ENSG00000002928",35,48,74,16,27,52
"ENSG00000002929",1,0,0,1,0,1
"ENSG00000002930",0,7,3,2,2,1
"ENSG00000002931",95,123,128,105,63,86
"ENSG00000002932",0,1,0,0,0,1
"ENSG00000002933",4,0,1,2,2,0
"ENSG00000002934",7,10,6,16,8,20
"ENSG00000002935",16,21,9,8,13,13
"ENSG00000002936",1,2,1,0,0,0
"ENSG00000002937",42,27,32,49,48,62
"ENSG00000002938",0,2,5,1,4,2
"ENSG00000002939",1,1,0,1,0,0
"ENSG00000002940",6,15,10,21,11,18
"ENSG00000002941",41,88,96,148,34,32
"ENSG00000002942",0,0,0,0,0,0
"ENSG00000002943",13,4,16,19,14,23
"ENSG00000002944",759,680,713,527,1114,794
"ENSG00000002945",2,0,0,0,1,1
"ENSG00000002946",60,88,37,55,55,66
"ENSG00000002947",1,1,0,0,0,0
"ENSG00000002948",57,199,60,66,71,76
"ENSG00000002949",268,291,406,502,132,225
"ENSG00000002950",0,0,0,2,0,1
"ENSG00000002951",47,38,19,74,16,10
"ENSG00000002952",655,1013,2889,1520,511,1321
"ENSG00000002953",0,1,0,0,1,0
"ENSG00000002954",0,1,0,0,0,0
"ENSG00000002955",0,0,0,0,0,2
"ENSG00000002956",564,741,642,385,620,898
"ENSG00000002957",10,7,3,9,6,7
"ENSG00000002958",1,0,0,0,0,1
"ENSG00000002959",0,0,0,0,0,0
"ENSG00000002960",116,95,113,203,204,82
"ENSG00000002961",34,87,78,72,51,171
"ENSG00000002962",20,42,29,23,15,23
"ENSG00000002963",30,49,23,55,16,40
"ENSG00000002964",0,0,0,0,0,1
"ENSG00000002965",2,1,0,1,1,4
"ENSG00000002966",2,3,5,5,7,4
"ENSG00000002967",0,1,1,1,1,1
"ENSG00000002968",0,1,0,1,0,1
"ENSG00000002969",0,0,2,2,1,1
"ENSG00000002970",4,17,10,16,6,34
"ENSG00000002971",346,315,998,1024,795,528
"ENSG00000002972",0,0,0,0,0,0
"ENSG00000002973",1655,1073,627,704,374,347
"ENSG00000002974",8,2,2,1,0,1
"ENSG00000002975",287,78,309,406,216,141
"ENSG00000002976",1,0,0,0,0,1
"ENSG00000002977",0,0,0,0,0,0
"ENSG00000002978",9,14,12,20,7,6
"ENSG00000002979",0,0,0,0,0,0
"ENSG00000002980",220,585,988,533,496,316
"ENSG00000002981",1,1,2,0,1,0
"ENSG00000002982",10059,9710,17670,23497,4351,23188
"ENSG00000002983",0,0,2,1,0,0
"ENSG00000002984",0,0,0,0,0,0
"ENSG00000002985",20,16,35,26,12,19
"ENSG00000002986",11,5,6,7,6,3
"ENSG00000002987",18,6,22,9,5,23
"ENSG00000002988",257,104,60,62,80,50
"ENSG00000002989",0,0,0,1,0,0
"ENSG00000002990",27,34,17,29,9,52
"ENSG00000002991",0,1,0,0,0,1
"ENSG00000002992",0,0,1,0,0,0
"ENSG00000002993",0,2,2,1,0,0
"ENSG00000002994",38,26,38,34,35,74
"ENSG00000002995",6,7,11,8,2,12
"ENSG00000002996",115,179,218,179,167,219
"ENSG00000002997",6,10,18,5,13,7
"ENSG00000002998",2,2,0,1,0,1
"ENSG00000002999",205,238,260,48,337,167
"ENSG00000003000",93,153,111,79,138,100
"ENSG00000003001",35,18,24,27,19,4
"ENSG00000003002",10,18,11,10,1,7
"ENSG00000003003",1,0,0,0,0,1
"ENSG00000003004",6,9,9,3,7,6
"ENSG00000003005",3672,5202,3898,6082,4359,4879
"ENSG00000003006",17,42,26,16,8,29
"ENSG00000003007",170,264,101,217,65,172
"ENSG00000003008",10,16,6,18,12,18
"ENSG00000003009",77,112,85,31,67,71
"ENSG00000003010",1,0,1,0,0,0
"ENSG00000003011",2,0,0,0,0,0
"ENSG00000003012",7,4,6,1,9,6
"ENSG00000003013",1,1,2,0,1,0
"ENSG00000003014",99,47,317,153,68,78
"ENSG00000003015",2,14,24,11,11,8
"ENSG00000003016",538,367,135,308,415,241
"ENSG00000003017",11,30,31,48,19,20
"ENSG00000003018",152,260,138,359,282,111
"ENSG00000003019",53,44,39,49,30,60
"ENSG00000003020",13,3,18,10,6,7
"ENSG00000003021",64,57,34,46,80,155
"ENSG00000003022",7,4,7,4,3,12
"ENSG00000003023",482,448,600,532,481,334
"ENSG00000003024",0,0,1,0,1,3
"ENSG00000003025",0,0,0,0,0,0
"ENSG00000003026",8,1,7,7,8,10
"ENSG00000003027",1,2,2,0,2,1
"ENSG00000003028",0,0,0,0,0,2
"ENSG00000003029",0,0,0,0,0,0
"ENSG00000003030",1,0,0,0,0,1
"ENSG00000003031",6,4,5,6,5,5
"ENSG00000003032",0,3,2,4,1,2
"ENSG00000003033",5,10,1,4,6,6
"ENSG00000003034",0,0,0,2,0,1
"ENSG00000003035",0,0,0,0,0,0
"ENSG00000003036",1,1,0,0,0,0
"ENSG00000003037",3,1,0,0,0,1
"ENSG00000003038",1,1,0,0,0,0
"ENSG00000003039",265,242,107,188,199,173
"ENSG00000003040",28,14,17,13,9,13
"ENSG00000003041",9,38,19,36,23,20
"ENSG00000003042",16,38,18,40,72,33
"ENSG00000003043",105,34,152,54,95,56
"ENSG00000003044",329,168,297,101,296,223
"ENSG00000003045",1,0,1,0,1,1
"ENSG00000003046",5,0,4,0,2,0
"ENSG00000003047",8,10,12,5,3,13
"ENSG00000003048",33,33,31,21,57,28
"ENSG00000003049",16,15,17,25,16,6
"ENSG00000003050",0,0,1,0,0,0
"ENSG00000003051",16,5,4,4,1,1
"ENSG00000003052",108,163,152,167,75,88
"ENSG00000003053",0,1,1,0,0,1
"ENSG00000003054",1,1,0,0,1,2
"ENSG00000003055",0,1,0,0,1,0
"ENSG00000003056",1,1,0,1,0,0
"ENSG00000003057",76,108,43,52,23,40
"ENSG00000003058",1792,2616,1290,1327,835,741
"ENSG00000003059",0,1,0,0,0,1
"ENSG00000003060",5,14,10,4,4,6
"ENSG00000003061",0,0,0,0,0,0
"ENSG00000003062",0,0,1,0,2,1
"ENSG00000003063",1,1,0,0,0,0
"ENSG00000003064",0,1,1,0,1,0
"ENSG00000003065",1179,1851,1314,2624,852,2183
"ENSG00000003066",0,1,0,0,0,0
"ENSG00000003067",166,340,548,392,238,443
"ENSG00000003068",123,263,179,199,143,59
"ENSG00000003069",68,99,43,247,48,44
"ENSG00000003070",1,0,0,0,1,2
"ENSG00000003071",0,0,0,0,0,1
"ENSG00000003072",289,241,122,97,100,116
"ENSG00000003073",0,1,0,0,0,2
"ENSG00000003074",97,76,83,43,33,166
"ENSG00000003075",79,16,26,24,41,105
"ENSG00000003076",213,46,142,177,215,116
"ENSG00000003077",9,8,7,9,7,3
"ENSG00000003078",0,0,0,0,0,0
"ENSG00000003079",88,34,43,35,57,118
"ENSG00000003080",13,38,40,48,37,22
"ENSG00000003081",447,323,257,266,47,570
"ENSG00000003082",36,60,59,19,39,115
"ENSG00000003083",13,22,50,28,10,19
"ENSG00000003084",0,0,0,0,0,0
"ENSG00000003085",5,8,8,6,5,4
"ENSG00000003086",0,0,1,0,2,0
"ENSG00000003087",3,2,6,0,1,0
"ENSG00000003088",0,0,0,0,0,0
"ENSG00000003089",1,0,1,1,0,0
"ENSG00000003090",0,1,2,1,1,0
"ENSG00000003091",1,2,0,0,0,2
"ENSG00000003092",1,1,1,0,1,0
"ENSG00000003093",0,0,0,0,0,0
"ENSG00000003094",6,12,5,7,7,5
"ENSG00000003095",8,4,6,6,5,7
"ENSG00000003096",59,24,101,32,64,38
"ENSG00000003097",0,0,0,0,0,0
"ENSG00000003098",0,7,6,7,2,5
"ENSG00000003099",0,0,0,0,0,0
"ENSG00000003100",527,427,424,184,351,456
"ENSG00000003101",0,0,0,0,2,1
"ENSG00000003102",0,2,0,0,0,2
"ENSG00000003103",1,0,0,0,3,0
"ENSG00000003104",0,3,3,0,0,0
"ENSG00000003105",24,34,29,14,7,26
"ENSG00000003106",56,88,101,98,91,35
"ENSG00000003107",5,23,26,7,9,17
"ENSG00000003108",12,23,14,17,13,14
"ENSG00000003109",23,30,11,21,34,51
"ENSG00000003110",18,43,45,104,21,98
"ENSG00000003111",1,0,2,2,0,0
"ENSG00000003112",0,1,3,1,0,0
"ENSG00000003113",0,1,0,0,0,0
"ENSG00000003114",32,73,23,35,26,16
"ENSG00000003115",82,60,23,167,48,95
"ENSG00000003116",7,16,12,15,9,12
"ENSG00000003117",1,4,4,6,6,6
"ENSG00000003118",1,2,2,1,1,2
"ENSG00000003119",5,10,2,10,2,4
"ENSG00000003120",24,27,8,15,5,19
"ENSG00000003121",0,2,2,1,0,1
"ENSG00000003122",90,38,34,162,64,119
"ENSG00000003123",22,5,21,56,26,26
"ENSG00000003124",1,1,2,0,0,0
"ENSG00000003125",32,24,26,47,25,16
"ENSG00000003126",64,97,11,78,38,57
"ENSG00000003127",2,2,2,0,1,0
"ENSG00000003128",26,22,35,25,5,30
"ENSG00000003129",6,11,4,8,10,0
"ENSG00000003130",4,16,6,20,11,9
"ENSG00000003131",3,2,0,0,4,2
"ENSG00000003132",54,24,32,47,26,28
"ENSG00000003133",2,1,0,0,0,1
"ENSG00000003134",12,5,15,4,5,6
"ENSG00000003135",3,2,8,2,0,3
"ENSG00000003136",0,2,2,1,2,8
"ENSG00000003137",0,0,1,0,1,2
"ENSG00000003138",5,2,9,2,9,11
"ENSG00000003139",2,3,5,2,1,6
"ENSG00000003140",9,6,26,25,9,22
"ENSG00000003141",1,1,3,1,2,0
"ENSG00000003142",44,17,50,23,29,37
"ENSG00000003143",59,107,57,28,72,37
"ENSG00000003144",0,0,0,0,0,0
"ENSG00000003145",2,1,1,0,1,2
"ENSG00000003146",2515,1124,1214,1803,707,1518
"ENSG00000003147",0,0,0,0,1,1
"ENSG00000003148",19,30,19,35,49,50
"ENSG00000003149",6,4,9,13,12,33
"ENSG00000003150",1,1,1,0,1,2
"ENSG00000003151",29,44,24,50,29,14
"ENSG00000003152",1,0,0,0,1,0
"ENSG00000003153",12,3,11,18,14,5
"ENSG00000003154",5,25,5,28,6,11
"ENSG00000003155",18,4,13,9,16,16
"ENSG00000003156",1,1,6,5,2,4
"ENSG00000003157",65,261,112,115,114,67
"ENSG00000003158",0,0,0,0,1,0
"ENSG00000003159",0,1,0,0,2,0
"ENSG00000003160",43,36,46,46,25,43
"ENSG00000003161",2,0,1,0,0,0
"ENSG00000003162",0,0,2,0,0,0
"ENSG00000003163",0,0,0,1,1,2
"ENSG00000003164",0,1,1,0,2,3
"ENSG00000003165",1,1,1,0,0,0
"ENSG00000003166",1,1,4,2,1,8
"ENSG00000003167",1,0,0,0,0,0
"ENSG00000003168",15,10,17,12,11,9
"ENSG00000003169",0,0,0,0,0,0
"ENSG00000003170",4,6,0,3,0,1
"ENSG00000003171",12,16,27,30,16,20
"ENSG00000003172",0,1,0,1,0,1
"ENSG00000003173",6,11,15,5,7,12
"ENSG00000003174",145,114,131,192,159,212
"ENSG00000003175",0,2,5,1,3,4
"ENSG00000003176",1,1,0,0,0,1
"ENSG00000003177",0,0,0,0,0,0
"ENSG00000003178",100,23,70,40,68,28
"ENSG00000003179",289,215,228,261,135,183
"ENSG00000003180",0,0,0,0,0,0
"ENSG00000003181",89,70,77,188,51,58
"ENSG00000003182",1,0,1,0,0,0
"ENSG00000003183",1538,2205,533,3009,1376,286
"ENSG00000003184",20,23,9,16,16,17
"ENSG00000003185",6,6,15,12,4,12
"ENSG00000003186",0,0,2,0,0,0
"ENSG00000003187",0,2,1,0,2,5
"ENSG00000003188",0,1,1,0,2,0
"ENSG00000003189",1,0,1,0,1,0
"ENSG00000003190",2,8,7,9,6,5
"ENSG00000003191",8,9,6,20,5,13
"ENSG00000003192",1,2,1,5,4,4
"ENSG00000003193",0,1,1,2,1,0
"ENSG00000003194",0,0,0,0,1,2
"ENSG00000003195",0,1,0,0,0,0
"ENSG00000003196",0,0,1,0,1,0
"ENSG00000003197",0,0,1,0,0,0
"ENSG00000003198",10,24,10,34,29,33
"ENSG00000003199",0,0,0,0,0,1
"ENSG00000003200",14,22,21,12,11,35
"ENSG00000003201",0,1,0,0,2,1
"ENSG00000003202",32,10,16,8,23,33
"ENSG00000003203",3,2,2,8,2,4
"ENSG00000003204",313,394,254,251,241,475
"ENSG00000003205",0,1,0,0,0,1
"ENSG00000003206",20,32,36,60,82,45
"ENSG00000003207",25,12,9,11,6,9
"ENSG00000003208",1109,1030,202,1472,777,734
"ENSG00000003209",6,5,10,22,14,21
"ENSG00000003210",43,28,54,44,13,22
"ENSG00000003211",1,0,1,1,1,0
"ENSG00000003212",47,22,87,47,48,37
"ENSG00000003213",46,14,71,103,54,37
"ENSG00000003214",0,1,0,0,1,0
"ENSG00000003215",0,0,2,2,0,1
"ENSG00000003216",31,34,25,44,8,21
"ENSG00000003217",1,0,0,2,0,1
"ENSG00000003218",44,62,49,110,95,61
"ENSG00000003219",0,0,0,0,0,0
"ENSG00000003220",463,346,187,190,59,306
"ENSG00000003221",24,36,32,20,18,8
"ENSG00000003222",155,111,129,119,80,48
"ENSG00000003223",11,14,14,13,16,17
"ENSG00000003224",20,46,28,20,13,20
"ENSG00000003225",32,21,12,23,18,24
"ENSG00000003226",8,14,13,6,1,5
"ENSG00000003227",2228,2104,1010,1862,896,944
"ENSG00000003228",9,14,6,2,8,8
"ENSG00000003229",2,0,0,0,0,1
"ENSG00000003230",0,1,0,0,0,0
"ENSG00000003231",0,1,0,1,1,0
"ENSG00000003232",392,185,218,310,175,120
"ENSG00000003233",0,0,0,0,0,0
"ENSG00000003234",20,3,33,25,9,7
"ENSG00000003235",0,0,0,0,0,0
"ENSG00000003236",2,4,1,3,1,4
"ENSG00000003237",0,0,1,0,0,1
"ENSG00000003238",5,15,3,3,5,12
"ENSG00000003239",103,105,148,122,62,46
"ENSG00000003240",3,4,7,16,9,15
"ENSG00000003241",0,1,1,1,0,0
"ENSG00000003242",1,7,5,7,4,2
"ENSG00000003243",25,23,45,41,26,35
"ENSG00000003244",0,2,0,1,3,0
"ENSG00000003245",0,1,1,2,0,2
"ENSG00000003246",318,521,1187,514,922,1105
"ENSG00000003247",89,19,158,106,112,52
"ENSG00000003248",0,0,0,0,0,0
"ENSG00000003249",0,0,1,0,0,0
"ENSG00000003250",28,38,65,78,48,114
"ENSG00000003251",43,102,38,87,55,51
"ENSG00000003252",0,0,1,0,0,0
"ENSG00000003253",84,136,105,55,107,64
"ENSG00000003254",0,1,0,1,0,1
"ENSG00000003255",5,8,15,35,11,10
"ENSG00000003256",450,1049,919,721,1305,2180
"ENSG00000003257",218,395,170,94,94,138
"ENSG00000003258",211,343,121,248,244,251
"ENSG00000003259",6,8,7,13,6,13
"ENSG00000003260",11,17,26,19,14,18
"ENSG00000003261",2,1,6,9,4,7
"ENSG00000003262",0,0,0,0,0,0
"ENSG00000003263",17,62,61,20,25,38
"ENSG00000003264",13,4,19,23,24,40
"ENSG00000003265",1,1,0,0,0,0
"ENSG00000003266",5,8,15,11,16,4
"ENSG00000003267",0,1,0,0,0,0
"ENSG00000003268",8,0,5,4,2,0
"ENSG00000003269",0,0,0,0,0,2
"ENSG00000003270",1,1,0,0,1,2
"ENSG00000003271",0,0,1,1,0,1
"ENSG00000003272",13,6,19,9,8,14
"ENSG00000003273",6,1,0,14,10,7
"ENSG00000003274",8,3,5,0,4,6
"ENSG00000003275",6,2,11,9,7,4
"ENSG00000003276",19,14,15,26,6,6
"ENSG00000003277",481,198,256,62,277,214
"ENSG00000003278",6,14,3,7,11,12
"ENSG00000003279",2,0,3,1,0,4
"ENSG00000003280",2,3,4,2,1,8
"ENSG00000003281",0,1,0,0,1,1
"ENSG00000003282",0,0,0,0,1,2
"ENSG00000003283",0,0,0,0,0,1
"ENSG00000003284",2,3,3,2,2,1
"ENSG00000003285",1,1,1,2,5,2
"ENSG00000003286",890,1335,639,1208,740,1439
"ENSG00000003287",803,846,417,1035,481,1137
"ENSG00000003288",2949,7963,4757,6510,1411,3289
"ENSG00000003289",157,70,85,68,111,44
"ENSG00000003290",14,10,21,18,2,24
"ENSG00000003291",0,0,0,0,0,1
"ENSG00000003292",1,4,1,2,2,2
"ENSG00000003293",3,8,6,5,5,10
"ENSG00000003294",139,430,251,170,74,273
"ENSG00000003295",30,187,66,36,19,21
"ENSG00000003296",176,55,147,211,50,90
"ENSG00000003297",0,0,0,0,0,0
"ENSG00000003298",3,0,0,0,1,0
"ENSG00000003299",30,55,80,24,31,37
"ENSG00000003300",0,2,2,1,1,0
"ENSG00000003301",0,9,23,2,9,8
"ENSG00000003302",734,2111,1033,506,2156,1829
"ENSG00000003303",90,140,108,86,98,125
"ENSG00000003304",9,30,17,7,12,10
"ENSG00000003305",0,0,0,0,0,1
"ENSG00000003306",12,15,8,19,13,22
"ENSG00000003307",93,356,60,79,76,145
"ENSG00000003308",29,43,16,6,24,96
"ENSG00000003309",36,18,40,50,41,39
"ENSG00000003310",249,74,177,452,210,210
"ENSG00000003311",1,13,21,7,9,18
"ENSG00000003312",13,8,15,6,5,12
"ENSG00000003313",0,0,1,0,1,1
"ENSG00000003314",62,82,52,57,61,108
"ENSG00000003315",15,10,1,18,4,24
"ENSG00000003316",85,91,45,64,54,177
"ENSG00000003317",0,0,0,0,0,0
"ENSG00000003318",2,1,1,1,1,3
"ENSG00000003319",17,47,21,43,11,27
"ENSG00000003320",41,59,114,42,57,106
"ENSG00000003321",0,0,0,1,0,0
"ENSG00000003322",1,1,0,1,2,0
"ENSG00000003323",0,0,0,0,0,0
"ENSG00000003324",34,30,58,24,50,24
"ENSG00000003325",1,3,3,5,9,1
"ENSG00000003326",59,70,19,15,26,39
"ENSG00000003327",0,0,0,0,0,0
"ENSG00000003328",9,7,6,2,5,6
"ENSG00000003329",190,97,61,134,33,121
"ENSG00000003330",20,23,7,12,9,10
"ENSG00000003331",48,37,52,18,31,27
"ENSG00000003332",0,0,0,1,0,1
"ENSG00000003333",52,60,43,46,64,64
"ENSG00000003334",257,386,380,490,307,192
"ENSG00000003335",0,0,0,0,0,0
"ENSG00000003336",0,1,0,0,0,1
"ENSG00000003337",0,1,2,1,1,0
"ENSG00000003338",4,2,1,4,6,4
"ENSG00000003339",55,53,40,28,70,103
"ENSG00000003340",0,0,0,0,1,0
"ENSG00000003341",0,1,1,1,1,1
"ENSG00000003342",2,0,0,0,1,0
"ENSG00000003343",78,20,55,168,43,76
"ENSG00000003344",0,1,2,0,0,1
"ENSG00000003345",24,32,31,8,23,37
"ENSG00000003346",26,17,56,43,30,71
"ENSG00000003347",31,29,4,27,48,39
"ENSG00000003348",22,23,32,16,10,22
"ENSG00000003349",0,0,0,0,0,0
"ENSG00000003350",24,152,67,185,97,58
"ENSG00000003351",1,0,1,0,0,0
"ENSG00000003352",142,179,153,197,89,165
"ENSG00000003353",0,0,0,0,0,0
"ENSG00000003354",5,9,9,36,8,8
"ENSG00000003355",8,1,3,1,0,4
"ENSG00000003356",0,0,0,0,2,1
"ENSG00000003357",3,8,6,3,1,3
"ENSG00000003358",11,12,3,8,7,2
"ENSG00000003359",5,0,10,1,6,6
"ENSG00000003360",20,10,31,15,8,11
"ENSG00000003361",0,0,0,0,0,0
"ENSG00000003362",6,8,3,13,7,3
"ENSG00000003363",2,1,0,0,0,1
"ENSG00000003364",19,24,17,27,29,10
"ENSG00000003365",4,10,26,3,7,4
"ENSG00000003366",89,111,111,104,108,141
"ENSG00000003367",3,3,1,0,0,0
"ENSG00000003368",50,95,35,61,41,42
"ENSG00000003369",616,649,709,287,223,362
"ENSG00000003370",11,6,10,6,9,8
"ENSG00000003371",36,71,75,13,13,27
"ENSG00000003372",13,5,6,5,7,8
"ENSG00000003373",18,27,14,12,13,9
"ENSG00000003374",0,0,0,0,0,2
"ENSG00000003375",3,2,6,9,4,1
"ENSG00000003376",0,0,0,0,0,0
"ENSG00000003377",0,0,0,0,3,2
"ENSG00000003378",1,0,3,0,0,0
"ENSG00000003379",0,0,1,0,0,1
"ENSG00000003380",2,0,1,0,0,0
"ENSG00000003381",1,0,0,0,0,0
"ENSG00000003382",1,0,0,0,0,0
"ENSG00000003383",28,43,26,47,9,24
"ENSG00000003384",11,3,12,14,0,8
"ENSG00000003385",0,0,0,0,0,0
"ENSG00000003386",66,69,92,254,104,281
"ENSG00000003387",30,31,31,24,19,43
"ENSG00000003388",25,45,10,22,32,19
"ENSG00000003389",11,48,17,18,8,6
"ENSG00000003390",0,1,1,1,1,1
"ENSG00000003391",2,4,2,3,2,1
"ENSG00000003392",8,6,12,8,2,5
"ENSG00000003393",2,1,1,0,0,1
"ENSG00000003394",117,92,89,58,48,11
"ENSG00000003395",3,1,4,4,3,5
"ENSG00000003396",1,0,1,0,0,0
"ENSG00000003397",0,0,0,0,0,3
"ENSG00000003398",0,0,1,0,0,0
"ENSG00000003399",109,37,48,64,54,33
"ENSG00000003400",1,1,1,0,0,0
"ENSG00000003401",6,19,7,7,7,7
"ENSG00000003402",117,110,132,154,85,158
"ENSG00000003403",11,12,6,17,3,12
"ENSG00000003404",9,17,24,30,15,46
"ENSG00000003405",32,39,54,61,46,69
"ENSG00000003406",0,0,0,0,0,0
"ENSG00000003407",1,5,7,5,1,8
"ENSG00000003408",4,8,2,7,9,12
"ENSG00000003409",5,2,4,2,1,7
"ENSG00000003410",0,0,0,0,0,0
"ENSG00000003411",272,294,413,334,100,560
"ENSG00000003412",29,34,37,38,39,18
"ENSG00000003413",66,119,86,37,101,30
"ENSG00000003414",1,0,0,0,0,0
"ENSG00000003415",9,20,3,3,11,21
"ENSG00000003416",6,15,32,12,15,18
"ENSG00000003417",0,0,2,0,0,0
"ENSG00000003418",27,46,15,36,55,33
"ENSG00000003419",0,2,0,0,0,0
"ENSG00000003420",80,57,101,100,44,105
"ENSG00000003421",0,0,0,0,0,1
"ENSG00000003422",1,0,2,0,2,1
"ENSG00000003423",1,0,3,2,1,0
"ENSG00000003424",103,118,49,60,58,107
"ENSG00000003425",1,0,0,0,1,2
"ENSG00000003426",52,64,137,41,63,122
"ENSG00000003427",1,1,1,0,0,2
"ENSG00000003428",7,38,58,33,45,49
"ENSG00000003429",0,0,0,0,0,0
"ENSG00000003430",62,35,16,39,57,34
"ENSG00000003431",326,390,644,760,499,281
"ENSG00000003432",1088,328,296,537,708,555
"ENSG00000003433",0,0,1,1,0,0
"ENSG00000003434",41,51,43,45,38,104
"ENSG00000003435",12,7,7,6,8,10
"ENSG00000003436",19,31,14,28,27,9
"ENSG00000003437",0,0,0,0,0,0
"ENSG00000003438",1,0,1,1,0,0
"ENSG00000003439",9,9,2,4,11,6
"ENSG00000003440",35,35,47,37,40,60
"ENSG00000003441",13,20,1,16,15,24
"ENSG00000003442",3,5,0,7,1,4
"ENSG00000003443",0,1,1,1,0,0
"ENSG00000003444",67,106,60,32,66,100
"ENSG00000003445",21,25,25,18,12,34
"ENSG00000003446",0,0,1,1,1,0
"ENSG00000003447",0,0,0,0,0,1
"ENSG00000003448",214,130,330,420,197,351
"ENSG00000003449",16,7,12,9,8,7
"ENSG00000003450",13,1,2,8,3,9
"ENSG00000003451",284,66,124,117,71,342
"ENSG00000003452",0,0,2,0,1,0
"ENSG00000003453",1,0,1,0,0,2
"ENSG00000003454",32,7,12,28,24,17
"ENSG00000003455",563,100,479,624,213,778
"ENSG00000003456",3,2,0,6,2,1
"ENSG00000003457",175,215,106,74,97,139
"ENSG00000003458",439,1710,319,761,340,739
"ENSG00000003459",0,1,0,1,1,1
"ENSG00000003460",31,71,103,47,54,36
"ENSG00000003461",0,0,0,2,1,0
"ENSG00000003462",194,371,183,98,216,257
"ENSG00000003463",2,3,6,6,3,3
"ENSG00000003464",213,69,124,225,71,86
"ENSG00000003465",0,2,2,0,1,2
"ENSG00000003466",1170,1045,2738,1193,1001,2302
"ENSG00000003467",3,4,1,3,4,11
"ENSG00000003468",26,24,9,6,8,8
"ENSG00000003469",39,45,68,43,9,47
"ENSG00000003470",2,2,1,1,0,0
"ENSG00000003471",1,0,0,1,1,0
"ENSG00000003472",12,18,56,31,7,17
"ENSG00000003473",0,1,0,1,1,0
"ENSG00000003474",1648,917,1767,897,807,1052
"ENSG00000003475",3,1,1,0,1,0
"ENSG00000003476",0,2,0,0,0,1
"ENSG00000003477",264,380,300,226,247,164
"ENSG00000003478",1,3,1,4,2,3
"ENSG00000003479",19,9,7,21,7,28
"ENSG00000003480",1765,726,1627,1766,1157,649
"ENSG00000003481",0,1,0,1,0,2
"ENSG00000003482",9,2,5,4,5,5
"ENSG00000003483",0,5,0,2,1,2
"ENSG00000003484",35,49,51,98,93,108
"ENSG00000003485",3,3,5,5,6,5
"ENSG00000003486",96,46,59,85,65,68
"ENSG00000003487",0,0,0,0,1,0
"ENSG00000003488",0,0,0,0,0,0
"ENSG00000003489",97,82,77,125,161,49
"ENSG00000003490",35,26,26,29,11,31
"ENSG00000003491",1,0,0,1,0,0
"ENSG00000003492",5,5,6,5,5,9
"ENSG00000003493",0,0,0,0,0,0
"ENSG00000003494",2,0,0,1,1,0
"ENSG00000003495",4,5,6,5,1,4
"ENSG00000003496",3,6,10,22,5,15
